# Contraction of - ^ \dag and -S-
-0.0002404086284386673  +3.412526337898125e-17
+0.0002814087998008594  +3.645629804982509e-18
+0.0001853612628282196  -1.060485249962384e-18
+0.0001020635931833391  -9.820288232229545e-20
+7.511799006964054e-05  +2.622791148824696e-19
+0.0001020635931833396  -1.971998580326418e-19
+0.0001853612628282188  +1.782157321023048e-18
+0.000281408799800855   -1.897353801849633e-19

 # Contraction of - ^ \dag and -P-     to be multiplied by i
+7.561277831681927e-18  -0.2551828538006935
+3.823136146991488e-17  -0.05998263017687855
+1.074416956711247e-17  +0.04275896132970769
-6.194683642696332e-18  +0.03838974279627012
+4.188438002902706e-18  +0.03201587585119157
+6.518232030573999e-18  +0.03838974279627012
-1.076130874940457e-17  +0.04275896132970769
-3.021596809938624e-17  -0.05998263017687855

 # Contraction of + ^ \dag and -S-
-0.0006832477754041917  -1.048965601879726e-17
-0.0001591166138086762  -5.854691731421724e-18
+1.213483711799575e-05  +1.56192875473693e-18
+6.341688179526246e-05  -4.96096609295003e-19
+7.511799006964054e-05  +2.622791148824692e-19
+6.341688179526301e-05  +3.710004308973835e-19
+1.213483711799745e-05  -1.707618421664669e-18
-0.0001591166138086738  +1.109951974082035e-17


 # Contraction of + ^ \dag and -P-
+5.306661414548192e-19  -0.03736093654417191
+1.13854515940338e-16   -0.01182438876802707
+7.079297059540142e-17  +0.02524697864487024
+1.120070378207029e-17  +0.03117956181159984
+4.188438002902707e-18  +0.03201587585119157
-1.316797419801535e-17  +0.03117956181159984
-7.460459404262739e-17  +0.02524697864487024
-1.122308331897903e-16  -0.01182438876802706

questi di sotto sono OS

per me P=g5 e S=1 senza ulteriori segni o fasi



# Contraction of - ^ \dag and -


 # P5P5   overall  sing=(fermion loop )*(the fact that one need to be dagger) (-1)*(-1) =1
 +1.010058647648461      +1.222146403299769e-19
 +0.1631089266945436     +2.979632317745678e-19
 +0.039609692795187      -1.484442077444941e-19
 +0.01223272310224862    -1.246075311744678e-20
 +0.006818266354046421   -1.43482626564633e-36
 +0.01223272310224862    +1.246075311744678e-20
 +0.039609692795187      +1.625281528898189e-19
 +0.1631089266945436     -2.97963231774568e-19
 
  # A1A1    (-1)*(-1) =+1
 +0.8615574573005155     +1.580175525970857e-19
 +0.1453623942996129     -1.337981621473571e-19
 +0.03721321128026239    -6.578082585614098e-20
 +0.0119590074129594     -1.156068126431114e-20
 +0.006818266354046421   -2.756534252678262e-36
 +0.0119590074129594     +1.11339352505309e-20
 +0.0372132112802624     +9.646915903268566e-20
 +0.1453623942996129     +1.25898988562315e-19
 
  # S0S0    (-1)*(1) =-1
 +0.5645585885607974     -1.090854904927038e-19
 -0.06005697190837625    -2.42163703285536e-19
 -0.01400748228694682    +3.805872809726778e-20
 -0.007639372512315958   +3.214567143416512e-21
 -0.006818266354046421   +1.434826265646416e-36
 -0.007639372512315959   -3.214567143416518e-21
 -0.01400748228694682    -9.440530591273187e-20
 -0.06005697190837624    +2.421637032855361e-19
 
 # VKVK    (-1)*(-1) =1
 -0.7130574376046277 0
 0.04231103393375386 -4.232725281383409e-16
 0.01161115317993774 1.387778780781446e-17
 0.007365684096092145 4.302114220422482e-16
 0.006818266354046781 -3.907906472135057e-17
 0.007365684096092333 -4.371503159461554e-16
 0.01161115317993798 -8.326672684688674e-17
 0.0423110339337535 5.204170427930421e-16

  # Contraction of + ^ \dag and -
 
 
  # P5P5    (-1)*(-1) =1
 -0.56455741790874       +1.330106424985269e-19
 +0.06005726911853036    +2.121552835076005e-20
 +0.01400755849090464    -1.180155123541656e-19
 +0.007639386148848667   -5.501061266207341e-21
 +0.006818266354046421   -1.347410399630048e-36
 +0.007639386148848667   +5.665877003258532e-21
 +0.01400755849090464    +1.223300864292422e-19
 +0.06005726911853037    -1.495542547495874e-20
 
  # A1A1  (-1)*(-1) =1
 -0.7130586082566851     -2.099483714514479e-19
 +0.04231073672359965    +2.498464753667138e-19
 +0.01161107697598003    -4.93791308447188e-20
 +0.007365670459559452   -3.218549547971824e-21
 +0.006818266354046421   -1.434826265646423e-36
 +0.007365670459559452   +5.54789015292115e-21
 +0.01161107697598003    +8.104374903952593e-20
 +0.04231073672359964    -2.210473551600676e-19
 
  # S0S0  (-1)*(1) =-1
 -1.010057476996403      -9.388830824721885e-20
 -0.1631086294843895     +2.360177898185303e-19
 -0.03960961659122918    +6.760381710273385e-20
 -0.01223270946571591    +1.029043701288937e-20
 -0.006818266354046421   +1.464959834712275e-36
 -0.01223270946571591    -1.037336186929781e-20
 -0.03960961659122918    -1.301519063015436e-19
 -0.1631086294843895     -2.376721510436363e-19
 
 # VKVK   (-1)*(-1) =1
+0.8615586279525728     -1.966274432306163e-19
+0.145362691509767      +3.898891541845017e-19
+0.03721328748422022    -1.267304499633358e-19
+0.01195902104949211    -9.841730618993794e-21
+0.006818266354046421   -1.434826265646333e-36
+0.01195902104949211    +1.354749976323136e-20
+0.03721328748422022    +1.472591284122412e-19
+0.145362691509767      -3.509256386108041e-19


bolla scalare
+0.001446779599186249
bolla speudo
I+2.966230086573574


########################## comparison
sia TM che OS  SIB run
ig=0  P5P5
ig=1  S0S0
ig=2 -A1A1
ig=3 -A1A1
ig=3 -A1A1
ig=5 -A0A0?
ig=6 -V1V1
ig=7 -V2V2
ig=8 -V3V3
ig=9 -V0V0?


bolla run
ig=0 Scalar bolla
ig=5 pseudoscalar bolla
